With filtering out non-convergence results
(10, 'hilbert')
48:  {'name': 'fbcgs with bjacobi', 'time': 0.0002014636993408203, 'residual_norm': 0.0011371463235229694, 'num_of_iterations': 1}
49:  {'name': 'fbcgs with gasm', 'time': 0.00020170211791992188, 'residual_norm': 0.0011371463235229694, 'num_of_iterations': 1}
50:  {'name': 'fbcgs with ilu', 'time': 5.435943603515625e-05, 'residual_norm': 0.0011371463235229694, 'num_of_iterations': 1}
51:  {'name': 'fbcgs with telescope', 'time': 0.000232696533203125, 'residual_norm': 0.0011371463235229694, 'num_of_iterations': 1}
52:  {'name': 'gcr with none', 'time': 0.00011587142944335938, 'residual_norm': 0.0011442585363923992, 'num_of_iterations': 10}
53:  {'name': 'cr with ksp', 'time': 0.0001506805419921875, 'residual_norm': 0.0011603264981668395, 'num_of_iterations': 2}
54:  {'name': 'cr with redistribute', 'time': 0.00019669532775878906, 'residual_norm': 0.0011603264981668395, 'num_of_iterations': 2}
55:  {'name': 'bicg with lu', 'time': 8.082389831542969e-05, 'residual_norm': 0.0011727956498579957, 'num_of_iterations': 1}
56:  {'name': 'bicg with redundant', 'time': 9.584426879882812e-05, 'residual_norm': 0.0011727956498579957, 'num_of_iterations': 1}
57:  {'name': 'fbcgsr with cholesky', 'time': 4.553794860839844e-05, 'residual_norm': 0.0012238912207921146, 'num_of_iterations': 1}
58:  {'name': 'cgne with telescope', 'time': 0.00023293495178222656, 'residual_norm': 0.0012592165935285701, 'num_of_iterations': 2}
59:  {'name': 'fgmres with jacobi', 'time': 0.015644073486328125, 'residual_norm': 0.0012730354540738684, 'num_of_iterations': 2414}
60:  {'name': 'fgmres with pbjacobi', 'time': 0.014674901962280273, 'residual_norm': 0.0012730354540738684, 'num_of_iterations': 2414}
61:  {'name': 'cr with asm', 'time': 0.0002434253692626953, 'residual_norm': 0.0012758001595161177, 'num_of_iterations': 1}
62:  {'name': 'cr with bjacobi', 'time': 0.0002143383026123047, 'residual_norm': 0.0012758001595161177, 'num_of_iterations': 1}
