With filtering out non-convergence results
(10, 'hilbert')
7:  {'name': 'fbcgsr with gasm', 'time': 0.00020194053649902344, 'residual_norm': 6.693238500336019e-15, 'num_of_iterations': 1}
8:  {'name': 'fbcgsr with ilu', 'time': 4.839897155761719e-05, 'residual_norm': 6.693238500336019e-15, 'num_of_iterations': 1}
9:  {'name': 'fbcgsr with telescope', 'time': 0.0002200603485107422, 'residual_norm': 6.693238500336019e-15, 'num_of_iterations': 1}
10:  {'name': 'fbcgs with lu', 'time': 8.821487426757812e-05, 'residual_norm': 6.8641620414634075e-15, 'num_of_iterations': 1}
(500, 'random')
1:  {'name': 'fbcgs with ksp', 'time': 0.016834259033203125, 'residual_norm': 2.337834464448718e-12, 'num_of_iterations': 1}
2:  {'name': 'fbcgs with redistribute', 'time': 0.01632070541381836, 'residual_norm': 2.337834464448718e-12, 'num_of_iterations': 1}
3:  {'name': 'fbcgsr with ksp', 'time': 0.009574651718139648, 'residual_norm': 2.337834464448718e-12, 'num_of_iterations': 1}
4:  {'name': 'fbcgsr with redistribute', 'time': 0.011954545974731445, 'residual_norm': 2.337834464448718e-12, 'num_of_iterations': 1}
5:  {'name': 'qmrcgs with ksp', 'time': 0.011022329330444336, 'residual_norm': 2.337834464448718e-12, 'num_of_iterations': 1}
6:  {'name': 'qmrcgs with redistribute', 'time': 0.013197183609008789, 'residual_norm': 2.337834464448718e-12, 'num_of_iterations': 1}
7:  {'name': 'fbcgs with lu', 'time': 0.0044100284576416016, 'residual_norm': 2.368778671047744e-12, 'num_of_iterations': 1}
8:  {'name': 'fbcgs with redundant', 'time': 0.00610804557800293, 'residual_norm': 2.368778671047744e-12, 'num_of_iterations': 1}
9:  {'name': 'fbcgsr with lu', 'time': 0.00466465950012207, 'residual_norm': 2.368778671047744e-12, 'num_of_iterations': 1}
10:  {'name': 'fbcgsr with redundant', 'time': 0.00465083122253418, 'residual_norm': 2.368778671047744e-12, 'num_of_iterations': 1}
(250, 'hilbert')
1:  {'name': 'gmres with qr', 'time': 0.002240896224975586, 'residual_norm': 61.529654102607324, 'num_of_iterations': 3}
2:  {'name': 'lgmres with qr', 'time': 0.0028493404388427734, 'residual_norm': 61.529654102607324, 'num_of_iterations': 3}
3:  {'name': 'cr with gamg', 'time': 13.172194957733154, 'residual_norm': 61.64163431953061, 'num_of_iterations': 10000}
4:  {'name': 'richardson with qr', 'time': 6.365098714828491, 'residual_norm': 61.947796855406445, 'num_of_iterations': 10000}
5:  {'name': 'symmlq with svd', 'time': 0.0006923675537109375, 'residual_norm': 62.28248281638875, 'num_of_iterations': 1}
6:  {'name': 'cgne with svd', 'time': 0.002522706985473633, 'residual_norm': 62.28248312520072, 'num_of_iterations': 2}
7:  {'name': 'cg with svd', 'time': 0.0007624626159667969, 'residual_norm': 62.28248319213701, 'num_of_iterations': 1}
8:  {'name': 'fcg with svd', 'time': 0.0006737709045410156, 'residual_norm': 62.28248319213701, 'num_of_iterations': 1}
9:  {'name': 'pipeprcg with svd', 'time': 0.0014841556549072266, 'residual_norm': 62.28248319213701, 'num_of_iterations': 1}
10:  {'name': 'bicg with svd', 'time': 0.0014514923095703125, 'residual_norm': 62.28248459789824, 'num_of_iterations': 1}
(500, 'hilbert')
1:  {'name': 'cr with icc', 'time': 22.637520790100098, 'residual_norm': 89.6473994927511, 'num_of_iterations': 10000}
2:  {'name': 'bcgs with qr', 'time': 0.02496027946472168, 'residual_norm': 90.23679402687083, 'num_of_iterations': 6}
3:  {'name': 'cgne with svd', 'time': 0.01052236557006836, 'residual_norm': 90.40766404468083, 'num_of_iterations': 2}
4:  {'name': 'cg with svd', 'time': 0.0030100345611572266, 'residual_norm': 90.40766409443137, 'num_of_iterations': 1}
5:  {'name': 'fcg with svd', 'time': 0.003166675567626953, 'residual_norm': 90.40766409443137, 'num_of_iterations': 1}
6:  {'name': 'pipeprcg with svd', 'time': 0.007247447967529297, 'residual_norm': 90.40766409443137, 'num_of_iterations': 1}
7:  {'name': 'cr with svd', 'time': 0.004729032516479492, 'residual_norm': 90.40766411752848, 'num_of_iterations': 1}
8:  {'name': 'chebyshev with svd', 'time': 0.037744760513305664, 'residual_norm': 90.40766416575494, 'num_of_iterations': 18}
9:  {'name': 'tcqmr with svd', 'time': 0.007231950759887695, 'residual_norm': 90.40766421747544, 'num_of_iterations': 1}
10:  {'name': 'pipecg2 with svd', 'time': 0.012984037399291992, 'residual_norm': 90.40766438512703, 'num_of_iterations': 2}
(100, 'hilbert')
1:  {'name': 'bcgs with qr', 'time': 0.0009188652038574219, 'residual_norm': 35.49053084495659, 'num_of_iterations': 2}
2:  {'name': 'bcgsl with qr', 'time': 0.0015535354614257812, 'residual_norm': 35.684622107461124, 'num_of_iterations': 4}
3:  {'name': 'gmres with qr', 'time': 0.0004858970642089844, 'residual_norm': 35.72050159601824, 'num_of_iterations': 2}
4:  {'name': 'lgmres with qr', 'time': 0.000629425048828125, 'residual_norm': 35.72050159601824, 'num_of_iterations': 2}
5:  {'name': 'richardson with qr', 'time': 1.0906634330749512, 'residual_norm': 36.08817381331534, 'num_of_iterations': 10000}
6:  {'name': 'lcd with svd', 'time': 0.00018548965454101562, 'residual_norm': 36.489402720726325, 'num_of_iterations': 1}
7:  {'name': 'gmres with svd', 'time': 0.0004334449768066406, 'residual_norm': 36.489403493118736, 'num_of_iterations': 1}
8:  {'name': 'lgmres with svd', 'time': 0.00017952919006347656, 'residual_norm': 36.489403493118736, 'num_of_iterations': 1}
9:  {'name': 'pgmres with svd', 'time': 0.0004343986511230469, 'residual_norm': 36.489403493118736, 'num_of_iterations': 1}
10:  {'name': 'chebyshev with svd', 'time': 0.0017914772033691406, 'residual_norm': 36.48940391619575, 'num_of_iterations': 18}
